,0,1,2,3,4,5,6,7,8,9,10,11,12,13,class,combo
1011,0.22423844232197837,0.0771470466319654,0.06698730548202456,0.13115286041739407,0.07103860363256653,0.05545054102152931,0.08665068332211474,0.07680751040711686,0.03755560769708462,0.034424073973630016,0.039144114054767504,0.033245466806735575,0.03352984865647801,0.03179821133289122,1,01
1012,0.24083727339168737,0.07289140616625599,0.07083674570210033,0.11328454776640211,0.05170298140939198,0.04942314772095053,0.10343651520044626,0.08609029462591143,0.03447423006077887,0.044781266468093606,0.03553058781429964,0.0343085289607812,0.031153357058915417,0.030331449592343292,1,01
1013,0.25425998768868574,0.0757616064205343,0.0593611967317654,0.0942002149065594,0.05593199075893948,0.05610600112582713,0.09319031688499016,0.08819517375164701,0.03869967193609977,0.040435704908491306,0.03974255160069898,0.03689604591247065,0.03654176541925446,0.029526235598520457,1,01
1014,0.19088446033667208,0.056792311838733775,0.0733453590093708,0.1390095426599129,0.0626008669409589,0.05545404520844569,0.11419558356865796,0.07432839877112271,0.034102866645858446,0.047283700440555916,0.04230820793967836,0.03150786610136849,0.04661842606988457,0.0311197509685754,1,01
1015,0.24458784785256887,0.06177258568835325,0.06921540458818096,0.11324233864090796,0.059160332700582303,0.05292580756784064,0.0914460921500455,0.08383475401174469,0.04195041010116862,0.04285490949163093,0.03893817816958295,0.029602768084176275,0.036355886307728215,0.03219325659728127,1,01
1016,0.2212406347901733,0.061923207821807054,0.07106268569013355,0.1254059674265685,0.05765833236766297,0.05330796869794456,0.09433828683170617,0.08616019904465581,0.04248916958432623,0.04051050059661974,0.04088537958569856,0.03629875905798236,0.03843199712304248,0.028387354871245708,1,01
1017,0.22192562892166304,0.060345870501296486,0.05941365315872358,0.12769230671842183,0.06125327455264822,0.054585511548930384,0.09744496636381873,0.07035976068521607,0.044414622925086,0.04868212873795647,0.050541335658073755,0.03450124246077223,0.03860638058139711,0.029079916043751448,1,01
1018,0.2146961350322533,0.048274626429992244,0.057764514134032816,0.12608336396439684,0.060935487243660484,0.050729237457434975,0.12400946575906535,0.07735278660748061,0.03740297068446189,0.04593205736890218,0.0430841519366106,0.03561743985846054,0.04322604621193445,0.03375244955320643,1,01
1021,0.06284954725029016,0.03265238797405443,0.041929011108236526,0.0963978245740596,0.1282737178913643,0.035145724555935225,0.16216110836464467,0.1625618703440253,0.05667966248299612,0.10510499070281303,0.050157939484491695,0.03884265404408595,0.017239199604741344,0.009641273023965405,1,02
1022,0.053043683846549554,0.03303463413239632,0.04689337434662885,0.09665006686060458,0.12942544332546477,0.03764988925108441,0.19035764462981922,0.12495045133002286,0.050095804446109504,0.09784915773025152,0.0531057482939766,0.04894978416549573,0.027079354242411195,0.010712957216152293,1,02
1023,0.06480231561380896,0.03293539004338652,0.04241447243225697,0.09971549127714896,0.12233021646246181,0.03578093484296103,0.16919947705974378,0.14187975112972412,0.043453465840806275,0.1087414879024344,0.056381331982503786,0.046449262398866056,0.022316762690199516,0.013007069873090162,1,02
1024,0.06439451102868612,0.03628311122473018,0.04649620509000283,0.09388997108191835,0.16379647003354553,0.0379033886678637,0.14847274743050753,0.13809777224873115,0.0452404840952798,0.09990070669428458,0.05162998438521869,0.04208670334631729,0.021678041933477617,0.009709430939347395,1,02
1025,0.07192619648248616,0.04153888323227811,0.04607601303078405,0.10410294417170272,0.11193328550079501,0.040410952289915314,0.14122632530557583,0.15609687218705595,0.05363135864748004,0.1118683227088296,0.044807703526675076,0.04390569548095237,0.02157978203184564,0.010502971099717633,1,02
1026,0.07180461119628875,0.03380732922092106,0.047915184241457964,0.09902939962610233,0.13743739464869958,0.043835283536238216,0.15172997297763252,0.13460995622518124,0.0379298092833343,0.10705577303976849,0.05835226848467156,0.04351038691961955,0.021036907294527903,0.011058528942309218,1,02
1027,0.051928759264966894,0.029941919189140246,0.037700870097474325,0.09992545767716751,0.11375477656689842,0.045249426543678584,0.15188678354913088,0.17713028639885484,0.05327805003384798,0.11078884518428708,0.048395177665649,0.04676221661759113,0.019947522311277267,0.012693201208171351,1,02
1028,0.05007348476466071,0.03387116905350304,0.038499242762564355,0.09999606134056721,0.12435589912283564,0.039326196040821056,0.15647675238673822,0.1701784796246726,0.041952129617088725,0.11305274535491387,0.05382491428167537,0.04464902711676226,0.0229138068719747,0.010423479453570153,1,02
